collection,local_source_path,relative_path,filename,extension,size_bytes,modified_date,sha256,title_inferred,author_publisher,category,language,likely_topic,rights_status,review_status,possible_kutumba_relevance,duplicate_group
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 2.doc,Week- 2.doc,Week- 2.doc,.doc,43520,2026-06-30T02:00:23.769017+00:00,4a276a86b29b4905ab4e1f3bb24737e7c62cb58e09b11834c5049b898d063f8b,Week- 2,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 32.doc,Week- 32.doc,Week- 32.doc,.doc,53760,2026-06-30T02:00:23.817982+00:00,65b15013a9ea8864803c33697c2a86576d3b97c4b60d73eaba29b5a683917892,Week- 32,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 33.doc,Week- 33.doc,Week- 33.doc,.doc,59904,2026-06-30T02:00:23.834216+00:00,9e6f35b5f49caf6c74b0675064f3b32533cc53019021493d67418ddd7b0e78e8,Week- 33,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 34.doc,Week- 34.doc,Week- 34.doc,.doc,61440,2026-06-30T02:00:23.850312+00:00,ab1315b3ef41357284861c09b2232bb8884ddf68895ecc0f44d59ff36c8c6f9f,Week- 34,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 36.doc,Week- 36.doc,Week- 36.doc,.doc,64512,2026-06-30T02:00:23.866357+00:00,5bc09c31ef6832ce64c97e3166fbd0c9268212602b5ab19c33f81cf743118c79,Week- 36,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 37.doc,Week- 37.doc,Week- 37.doc,.doc,66048,2026-06-30T02:00:23.888165+00:00,fc7ad5e06052734851c9084c99acbb5aaf06056c56faa8c36c50405c0dcd67d3,Week- 37,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 39 (seminar).doc,Week- 39 (seminar).doc,Week- 39 (seminar).doc,.doc,52736,2026-06-30T02:00:23.940000+00:00,f0100b12b8c629c2da3d469609e8a607b604d95f6ca856af7fbcee32cac756cf,Week- 39 (seminar),,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-1.doc,Week-1.doc,Week-1.doc,.doc,55296,2026-06-30T02:00:24.355828+00:00,51d17c2526585d5bd34b8dc38c1713e2d0ba107b6d26515005fea4112a49cfc3,Week-1,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-12.doc,Week-12.doc,Week-12.doc,.doc,47616,2026-06-30T02:00:24.380075+00:00,5c6dfcf21bb42576cb4454fafeeb4c6e257f3c83b8bc584927420d4e9968bbcf,Week-12,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-21.doc,Week-21.doc,Week-21.doc,.doc,59392,2026-06-30T02:00:24.395909+00:00,7955226ee751cde6a9b1ef5d40ae6c955f0a45742862bf18719cdf9e92ec8a18,Week-21,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-24.doc,Week-24.doc,Week-24.doc,.doc,61440,2026-06-30T02:00:24.412409+00:00,54fb94d9baa4c02e0cb10554215638d7fe90e0bc42f4e74670b2067e74371e79,Week-24,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-27.doc,Week-27.doc,Week-27.doc,.doc,65536,2026-06-30T02:00:24.436588+00:00,8c728d68310a82269048e8b6571c112e91613a326ed4bda86c13a4883d93c257,Week-27,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-29.doc,Week-29.doc,Week-29.doc,.doc,61952,2026-06-30T02:00:24.453141+00:00,3617e217f444e883c72fed01cfcc4282823fbce542aa11869bf3b8c96ae48b16,Week-29,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-30.doc,Week-30.doc,Week-30.doc,.doc,60416,2026-06-30T02:00:24.472785+00:00,2f7cee7fe9146061463114719ab45f04d1ff7f24e7f36da524462550f7427fd2,Week-30,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-31.doc,Week-31.doc,Week-31.doc,.doc,59392,2026-06-30T02:00:24.493690+00:00,3c56cb8b3f5a77c5d4022e8939d14a8f031b0811bfa49198ac363a2ac07c1e49,Week-31,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-38.doc,Week-38.doc,Week-38.doc,.doc,59904,2026-06-30T02:00:24.510371+00:00,ea85286f42cb856a8dcd1b7be49048dcad19c9040de2aeaffce55ba8647c8bdb,Week-38,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-41.doc,Week-41.doc,Week-41.doc,.doc,69120,2026-06-30T02:00:24.534246+00:00,d7db958c749d5f0d09d1ea72f0cdcf2c32c9ebc230135f8f2f3a394af0797638,Week-41,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-42.doc,Week-42.doc,Week-42.doc,.doc,68096,2026-06-30T02:00:24.550773+00:00,fd097aa3e4959a6eaca28616d1346319b3397cb128713808b89a2f9b8bed5054,Week-42,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-43.doc,Week-43.doc,Week-43.doc,.doc,65536,2026-06-30T02:00:24.567291+00:00,a3fb29479666fc7ee1e22d1f96ae2e0b5e00ae82758feae3769fe4ac986e01da,Week-43,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-49.doc,Week-49.doc,Week-49.doc,.doc,61952,2026-06-30T02:00:24.591361+00:00,cdd73a51abfacef5f065aabee7850fbecd7f7795c1b03982e130d6fb9ffb05b1,Week-49,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-50.doc,Week-50.doc,Week-50.doc,.doc,62976,2026-06-30T02:00:24.607516+00:00,650a91966ef5f5b78f765f231f5464faf35f360be24a51a916feaa9800ff4c0c,Week-50,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-51.doc,Week-51.doc,Week-51.doc,.doc,62976,2026-06-30T02:00:24.624380+00:00,f0e7ddafb293c57a2a4caf2c4104f259ec2561a4de09116813c1dac74395d2f3,Week-51,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week6.doc,Week6.doc,Week6.doc,.doc,62976,2026-06-30T02:00:24.648863+00:00,000643103228e314a89c704e6a7e801c3ecc5408877ac290fcee36f10e948771,Week6,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week62.doc,Week62.doc,Week62.doc,.doc,65024,2026-06-30T02:00:24.665379+00:00,8d808879ea74800c0fe4c95622c1e18a9f5a77976627638deb2dc3dfcf541cc5,Week62,,document,en,,reference-only-index-only,not-reviewed,research-only,
