file,page,render_png,inspected,issues_found,fix_applied,status,review_iteration
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,38,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-038.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,39,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-039.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,40,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-040.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx,1,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-001.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx,2,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-002.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx,3,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-003.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx,4,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-004.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx,5,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-005.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx,6,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-006.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx,7,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-007.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx,8,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-008.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx,9,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-009.png,yes,ok,none,PASS,2
